Unnamed: 0,average_monthly_cost_$,average_yearly_temperature,internet_speed_mbps,safety_index,Healthcare Index,cluster_k2,cluster_k3,safety_healthcare_index,internet_speed_bin_label
mongolia,420.215,1.2,75.95,47.9,51.63,1,1,49.765,Good (50–99 Mbps)
montenegro,800.95875,20.6,96.78,64.6,41.05,1,0,52.824999999999996,Good (50–99 Mbps)
morocco,474.76375,21.0,36.37,52.2,46.87,0,2,49.535,Slow (20–49 Mbps)
mozambique,1580.3300000000002,27.7,17.68,39.9,41.15,0,2,40.525,Very Slow (<20 Mbps)
myanmar,844.2308333333334,29.7,26.66,49.1,48.6,0,2,48.85,Slow (20–49 Mbps)
namibia,765.515,26.3,13.6,36.5,65.07,0,2,50.785,Very Slow (<20 Mbps)
nepal,277.13875,21.5,74.66,63.3,57.7,1,0,60.5,Good (50–99 Mbps)
netherlands,1826.7151612903224,13.1,202.75,73.1,79.47,1,1,76.285,Very Fast (200+ Mbps)
new zealand,1472.5493333333332,13.2,175.54,51.8,68.61,1,1,60.205,Fast (100–199 Mbps)
nicaragua,555.03,24.2,83.13,49.2,61.57,0,0,55.385000000000005,Good (50–99 Mbps)
nigeria,1229.408,29.8,26.08,33.4,48.17,0,2,40.785,Slow (20–49 Mbps)
north macedonia,440.3970833333333,19.3,48.0,58.9,55.12,0,2,57.01,Slow (20–49 Mbps)
norway,1770.698,7.7,153.33,67.0,75.65,1,1,71.325,Fast (100–199 Mbps)
oman,1100.21,30.8,84.66,81.7,65.11,1,0,73.405,Good (50–99 Mbps)
pakistan,227.355,28.0,15.86,56.3,59.38,0,2,57.84,Very Slow (<20 Mbps)
panama,961.135,25.6,168.44,57.3,60.66,1,0,58.98,Fast (100–199 Mbps)
papua new guinea,3002.38,26.2,45.68,19.7,23.86,0,2,21.78,Slow (20–49 Mbps)
paraguay,614.9699999999999,21.9,95.79,40.2,64.52,0,0,52.36,Good (50–99 Mbps)
peru,590.495,17.7,200.79,32.9,56.28,1,1,44.59,Very Fast (200+ Mbps)
philippines,622.0938095238095,29.1,94.4,56.9,67.2,0,0,62.05,Good (50–99 Mbps)
poland,853.6701428571428,14.0,183.02,71.0,57.92,1,1,64.46000000000001,Fast (100–199 Mbps)
portugal,1074.16640625,18.6,207.95,67.9,72.42,1,1,70.16,Very Fast (200+ Mbps)
qatar,1988.76,32.1,192.83,84.2,73.45,1,0,78.825,Fast (100–199 Mbps)
romania,601.5911666666667,18.0,237.61,67.7,56.51,1,1,62.105000000000004,Very Fast (200+ Mbps)
russia,774.0392857142857,23.5,90.4,61.3,61.41,1,0,61.355,Good (50–99 Mbps)
rwanda,677.4250000000001,26.3,41.3,73.1,72.87,0,0,72.985,Slow (20–49 Mbps)
saudi arabia,901.7116666666668,32.1,121.87,76.1,61.71,1,0,68.905,Fast (100–199 Mbps)
senegal,1216.08,25.7,24.01,34.53333333333333,48.38,0,2,41.45666666666666,Slow (20–49 Mbps)
serbia,555.6665789473684,17.6,90.89,62.8,51.96,1,0,57.379999999999995,Good (50–99 Mbps)
singapore,3434.5750000000003,28.8,345.33,77.4,71.9,1,0,74.65,Very Fast (200+ Mbps)
slovakia,887.8055,15.0,92.27,69.0,58.6,1,1,63.8,Good (50–99 Mbps)
slovenia,984.7454166666666,14.8,97.18,76.2,66.26,1,1,71.23,Good (50–99 Mbps)
somalia,605.18,28.8,17.82,36.1,40.49,0,2,38.295,Very Slow (<20 Mbps)
south africa,807.2349999999999,24.1,48.49,25.3,63.83,0,2,44.565,Slow (20–49 Mbps)
south korea,904.8475,14.2,199.34,75.1,82.78,1,1,78.94,Fast (100–199 Mbps)
spain,1142.1048181818182,18.2,247.94,63.4,77.26,1,1,70.33,Very Fast (200+ Mbps)
sri lanka,244.798,29.5,24.97,57.9,71.36,0,2,64.63,Slow (20–49 Mbps)
sudan,843.38,31.4,77.26666666666667,54.5,46.78,0,0,50.64,Good (50–99 Mbps)
suriname,813.595,25.2,19.19,41.63333333333333,42.62,0,2,42.126666666666665,Very Slow (<20 Mbps)
sweden,1244.9235416666668,11.3,178.91,52.0,68.43,1,1,60.215,Fast (100–199 Mbps)
switzerland,2593.175,13.0,245.39,73.5,71.5,1,1,72.5,Very Fast (200+ Mbps)
syria,424.8675,24.7,3.23,31.9,37.11,0,2,34.504999999999995,Very Slow (<20 Mbps)
taiwan,801.5558333333333,19.066666666666663,226.37,82.9,86.5,1,1,84.7,Very Fast (200+ Mbps)
tajikistan,582.27,21.2,33.77,43.53333333333333,61.9,0,2,52.71666666666667,Slow (20–49 Mbps)
tanzania,604.1725,27.8,18.45,46.5,42.14,0,2,44.32,Very Slow (<20 Mbps)
thailand,602.2233333333334,29.9,238.41,62.7,77.36,1,0,70.03,Very Fast (200+ Mbps)
togo,639.955,27.9,34.13,51.1,54.17,0,2,52.635000000000005,Slow (20–49 Mbps)
trinidad & tobago,837.8475,26.1,124.5,29.1,54.09,1,0,41.595,Fast (100–199 Mbps)
tunisia,283.08892857142854,24.4,12.8,54.9,57.17,0,2,56.035,Very Slow (<20 Mbps)
turkey,359.521375,25.03333333333333,50.71,58.8,71.22,1,0,65.00999999999999,Good (50–99 Mbps)
turkmenistan,2617.4,22.3,3.78,35.5,49.83,0,2,42.665,Very Slow (<20 Mbps)
uganda,473.2325000000001,27.0,25.96,45.9,50.05,0,2,47.974999999999994,Slow (20–49 Mbps)
ukraine,437.6436206896552,14.5,84.48,53.0,55.74,1,1,54.370000000000005,Good (50–99 Mbps)
united arab emirates,2851.18,31.8,313.55,84.5,70.63,1,0,77.565,Very Fast (200+ Mbps)
united kingdom,1738.7716981132075,13.0,135.66,51.7,72.92,1,1,62.31,Fast (100–199 Mbps)
united states,2307.896906354515,8.1,279.93,50.8,67.86,1,1,59.33,Very Fast (200+ Mbps)
uruguay,909.28875,14.9,154.17,48.0,68.57,1,1,58.285,Fast (100–199 Mbps)
uzbekistan,418.35,20.9,81.78,72.1,61.82,1,0,66.96,Good (50–99 Mbps)
venezuela,573.7760000000001,23.0,83.91,19.3,38.69,0,2,28.994999999999997,Good (50–99 Mbps)
vietnam,539.5516666666666,25.2,164.77,59.2,61.32,1,0,60.260000000000005,Fast (100–199 Mbps)
yemen,708.6824999999999,23.2,11.21,36.3,25.31,0,2,30.805,Very Slow (<20 Mbps)
zambia,688.5800000000002,26.9,22.24,54.4,54.44,0,2,54.42,Slow (20–49 Mbps)
zimbabwe,671.9625000000001,25.8,26.48,39.3,44.8,0,2,42.05,Slow (20–49 Mbps)
